Job started at: Wed Apr  2 10:30:29 PM UTC 2025
Running Python script...
2025-04-02 22:30:30.307777: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-04-02 22:30:30.308558: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-02 22:30:30.313538: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-02 22:30:30.324457: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1743633030.341274  706868 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1743633030.345968  706868 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-04-02 22:30:30.366451: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-04-02 22:30:36.405005: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 0.09395764023065567  mse_f: 2312.023193359375   total loss: 2312.1171875
mse_b: 0.004150260705500841  mse_f: 2318.973388671875   total loss: 2318.9775390625
mse_b: 0.04271367937326431  mse_f: 2325.93896484375   total loss: 2325.981689453125
mse_b: 0.05769864469766617  mse_f: 2332.916259765625   total loss: 2332.973876953125
mse_b: 0.03458812087774277  mse_f: 2339.905029296875   total loss: 2339.939697265625
mse_b: 0.00880584865808487  mse_f: 2346.904541015625   total loss: 2346.913330078125
mse_b: 0.000500140362419188  mse_f: 2353.91552734375   total loss: 2353.916015625
mse_b: 0.01113181747496128  mse_f: 2360.936279296875   total loss: 2360.947509765625
mse_b: 0.029093248769640923  mse_f: 2367.966796875   total loss: 2367.995849609375
mse_b: 0.041434720158576965  mse_f: 2375.006103515625   total loss: 2375.047607421875
mse_b: 0.04285678267478943  mse_f: 2382.0537109375   total loss: 2382.0966796875
mse_b: 0.03536337614059448  mse_f: 2389.108154296875   total loss: 2389.1435546875
mse_b: 0.024008985608816147  mse_f: 2396.16796875   total loss: 2396.19189453125
mse_b: 0.013717371970415115  mse_f: 2403.2314453125   total loss: 2403.2451171875
mse_b: 0.007763647940009832  mse_f: 2410.296630859375   total loss: 2410.304443359375
mse_b: 0.00733049213886261  mse_f: 2417.361328125   total loss: 2417.36865234375
mse_b: 0.011742299422621727  mse_f: 2424.423828125   total loss: 2424.435546875
mse_b: 0.01915564015507698  mse_f: 2431.481689453125   total loss: 2431.500732421875
mse_b: 0.02743585780262947  mse_f: 2438.53369140625   total loss: 2438.56103515625
mse_b: 0.034884825348854065  mse_f: 2445.57861328125   total loss: 2445.613525390625
mse_b: 0.04059872031211853  mse_f: 2452.615234375   total loss: 2452.65576171875
mse_b: 0.0444658063352108  mse_f: 2459.642578125   total loss: 2459.68701171875
mse_b: 0.046960555016994476  mse_f: 2466.659912109375   total loss: 2466.706787109375
mse_b: 0.04888731241226196  mse_f: 2473.66650390625   total loss: 2473.71533203125
mse_b: 0.05115287005901337  mse_f: 2480.662353515625   total loss: 2480.713623046875
mse_b: 0.054595496505498886  mse_f: 2487.64599609375   total loss: 2487.70068359375
mse_b: 0.05987522006034851  mse_f: 2494.61767578125   total loss: 2494.677490234375
mse_b: 0.06741918623447418  mse_f: 2501.577392578125   total loss: 2501.644775390625
mse_b: 0.07740987092256546  mse_f: 2508.525390625   total loss: 2508.602783203125
mse_b: 0.08980529010295868  mse_f: 2515.46240234375   total loss: 2515.55224609375
mse_b: 0.1043870747089386  mse_f: 2522.39013671875   total loss: 2522.49462890625
mse_b: 0.12082409858703613  mse_f: 2529.310302734375   total loss: 2529.43115234375
mse_b: 0.13873575627803802  mse_f: 2536.22607421875   total loss: 2536.36474609375
mse_b: 0.1577494889497757  mse_f: 2543.14013671875   total loss: 2543.2978515625
mse_b: 0.1775517761707306  mse_f: 2550.055908203125   total loss: 2550.2333984375
mse_b: 0.1979260891675949  mse_f: 2556.977783203125   total loss: 2557.17578125
mse_b: 0.2187698930501938  mse_f: 2563.90966796875   total loss: 2564.12841796875
mse_b: 0.2400965392589569  mse_f: 2570.856201171875   total loss: 2571.09619140625
mse_b: 0.2620317041873932  mse_f: 2577.821533203125   total loss: 2578.08349609375
mse_b: 0.2848072052001953  mse_f: 2584.810302734375   total loss: 2585.09521484375
mse_b: 0.308748722076416  mse_f: 2591.826171875   total loss: 2592.135009765625
mse_b: 0.3342567980289459  mse_f: 2598.872314453125   total loss: 2599.20654296875
mse_b: 0.36177825927734375  mse_f: 2605.950439453125   total loss: 2606.312255859375
mse_b: 0.3917653262615204  mse_f: 2613.06103515625   total loss: 2613.452880859375
mse_b: 0.42463478446006775  mse_f: 2620.2021484375   total loss: 2620.626708984375
mse_b: 0.4607320725917816  mse_f: 2627.370849609375   total loss: 2627.83154296875
mse_b: 0.5002855658531189  mse_f: 2634.5625   total loss: 2635.062744140625
mse_b: 0.5433602333068848  mse_f: 2641.771728515625   total loss: 2642.315185546875
mse_b: 0.5898400545120239  mse_f: 2648.9931640625   total loss: 2649.5830078125
mse_b: 0.6394525170326233  mse_f: 2656.22265625   total loss: 2656.862060546875
mse_b: 0.691819965839386  mse_f: 2663.454833984375   total loss: 2664.146728515625
