Job started at: Wed Apr  2 10:27:39 PM UTC 2025
Running Python script...
2025-04-02 22:27:40.450605: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-04-02 22:27:40.451357: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-02 22:27:40.456347: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-02 22:27:40.467248: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1743632860.484082  851929 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1743632860.488738  851929 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-04-02 22:27:40.507229: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-04-02 22:27:46.742493: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 0.09395764023065567  mse_f: 2315.3291015625   total loss: 2315.423095703125
mse_b: 0.00342990318313241  mse_f: 2322.285888671875   total loss: 2322.289306640625
mse_b: 0.03690692037343979  mse_f: 2329.257080078125   total loss: 2329.2939453125
mse_b: 0.05011960491538048  mse_f: 2336.237060546875   total loss: 2336.287109375
mse_b: 0.029895247891545296  mse_f: 2343.227783203125   total loss: 2343.257568359375
mse_b: 0.008184358477592468  mse_f: 2350.2294921875   total loss: 2350.23779296875
mse_b: 0.0026789503172039986  mse_f: 2357.24365234375   total loss: 2357.246337890625
mse_b: 0.014074979349970818  mse_f: 2364.27001953125   total loss: 2364.2841796875
mse_b: 0.03108472377061844  mse_f: 2371.30859375   total loss: 2371.339599609375
mse_b: 0.04127927124500275  mse_f: 2378.359130859375   total loss: 2378.400390625
mse_b: 0.04021352529525757  mse_f: 2385.42138671875   total loss: 2385.461669921875
mse_b: 0.030848374590277672  mse_f: 2392.494140625   total loss: 2392.52490234375
mse_b: 0.01888054795563221  mse_f: 2399.576904296875   total loss: 2399.595703125
mse_b: 0.009390544146299362  mse_f: 2406.66748046875   total loss: 2406.6767578125
mse_b: 0.0052983323112130165  mse_f: 2413.764892578125   total loss: 2413.770263671875
mse_b: 0.006952857133001089  mse_f: 2420.867431640625   total loss: 2420.874267578125
mse_b: 0.012563141994178295  mse_f: 2427.973388671875   total loss: 2427.98583984375
mse_b: 0.019336972385644913  mse_f: 2435.08056640625   total loss: 2435.099853515625
mse_b: 0.02481704205274582  mse_f: 2442.188232421875   total loss: 2442.213134765625
mse_b: 0.027710702270269394  mse_f: 2449.294189453125   total loss: 2449.322021484375
mse_b: 0.02799140475690365  mse_f: 2456.39697265625   total loss: 2456.425048828125
mse_b: 0.02654782496392727  mse_f: 2463.495361328125   total loss: 2463.52197265625
mse_b: 0.024714382365345955  mse_f: 2470.587890625   total loss: 2470.612548828125
mse_b: 0.02386309579014778  mse_f: 2477.6728515625   total loss: 2477.69677734375
mse_b: 0.0251036137342453  mse_f: 2484.74951171875   total loss: 2484.774658203125
mse_b: 0.029093319550156593  mse_f: 2491.81591796875   total loss: 2491.844970703125
mse_b: 0.03595663607120514  mse_f: 2498.87109375   total loss: 2498.906982421875
mse_b: 0.04532138630747795  mse_f: 2505.91357421875   total loss: 2505.958984375
mse_b: 0.05646231770515442  mse_f: 2512.942626953125   total loss: 2512.9990234375
mse_b: 0.06850294768810272  mse_f: 2519.957763671875   total loss: 2520.0263671875
mse_b: 0.08061002939939499  mse_f: 2526.95947265625   total loss: 2527.0400390625
mse_b: 0.09213481098413467  mse_f: 2533.94775390625   total loss: 2534.039794921875
