Job started at: Mon Mar 31 01:55:51 PM UTC 2025
Running Python script...
2025-03-31 13:55:52.149861: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-31 13:55:52.150957: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:55:52.155833: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:55:52.166199: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1743429352.182622  414976 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1743429352.187232  414976 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-31 13:55:52.207558: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-03-31 13:55:57.394588: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 3.913562059402466  mse_f: 2312.53271484375   total loss: 2316.4462890625
mse_b: 1.5117604732513428  mse_f: 2319.21875   total loss: 2320.73046875
mse_b: 0.25047212839126587  mse_f: 2326.01513671875   total loss: 2326.265625
mse_b: 0.033070098608732224  mse_f: 2332.917236328125   total loss: 2332.9501953125
mse_b: 0.554889440536499  mse_f: 2339.906005859375   total loss: 2340.4609375
mse_b: 1.2561240196228027  mse_f: 2346.94091796875   total loss: 2348.197021484375
mse_b: 1.6857088804244995  mse_f: 2353.98486328125   total loss: 2355.670654296875
mse_b: 1.7437365055084229  mse_f: 2361.025390625   total loss: 2362.76904296875
mse_b: 1.5226107835769653  mse_f: 2368.06591796875   total loss: 2369.588623046875
mse_b: 1.1539125442504883  mse_f: 2375.114501953125   total loss: 2376.268310546875
mse_b: 0.7516053915023804  mse_f: 2382.178466796875   total loss: 2382.93017578125
mse_b: 0.39864984154701233  mse_f: 2389.263671875   total loss: 2389.662353515625
mse_b: 0.14657723903656006  mse_f: 2396.372802734375   total loss: 2396.519287109375
mse_b: 0.01824575662612915  mse_f: 2403.507080078125   total loss: 2403.525390625
mse_b: 0.011655823327600956  mse_f: 2410.665283203125   total loss: 2410.677001953125
mse_b: 0.10500308126211166  mse_f: 2417.8447265625   total loss: 2417.94970703125
mse_b: 0.2634185552597046  mse_f: 2425.041259765625   total loss: 2425.3046875
mse_b: 0.447065532207489  mse_f: 2432.25146484375   total loss: 2432.698486328125
mse_b: 0.6191381812095642  mse_f: 2439.471435546875   total loss: 2440.090576171875
mse_b: 0.7518329620361328  mse_f: 2446.698486328125   total loss: 2447.450439453125
mse_b: 0.8290724158287048  mse_f: 2453.931640625   total loss: 2454.7607421875
mse_b: 0.8461555242538452  mse_f: 2461.170654296875   total loss: 2462.016845703125
mse_b: 0.8074722290039062  mse_f: 2468.415771484375   total loss: 2469.22314453125
mse_b: 0.7235525250434875  mse_f: 2475.668212890625   total loss: 2476.391845703125
mse_b: 0.6082859039306641  mse_f: 2482.93017578125   total loss: 2483.53857421875
mse_b: 0.47668135166168213  mse_f: 2490.203125   total loss: 2490.6796875
mse_b: 0.3432167172431946  mse_f: 2497.48828125   total loss: 2497.83154296875
mse_b: 0.22068992257118225  mse_f: 2504.7880859375   total loss: 2505.0087890625
mse_b: 0.11945925652980804  mse_f: 2512.102783203125   total loss: 2512.22216796875
mse_b: 0.04697650671005249  mse_f: 2519.434326171875   total loss: 2519.481201171875
mse_b: 0.0075546326115727425  mse_f: 2526.78271484375   total loss: 2526.790283203125
mse_b: 0.002338978461921215  mse_f: 2534.148681640625   total loss: 2534.151123046875
