Job started at: Mon Mar 31 01:54:44 PM UTC 2025
Running Python script...
2025-03-31 13:54:45.311684: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-31 13:54:45.312308: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:54:45.315533: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:54:45.324935: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1743429285.341703  453651 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1743429285.346235  453651 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-31 13:54:45.364286: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-03-31 13:54:50.407736: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 0.0005672835395671427  mse_f: 2312.028076171875   total loss: 2312.028564453125
mse_b: 0.0005962596042081714  mse_f: 2318.974609375   total loss: 2318.97509765625
mse_b: 0.0013800202868878841  mse_f: 2325.935546875   total loss: 2325.93701171875
mse_b: 0.0027752418536692858  mse_f: 2332.91015625   total loss: 2332.912841796875
mse_b: 0.004459596239030361  mse_f: 2339.89892578125   total loss: 2339.9033203125
mse_b: 0.005976622458547354  mse_f: 2346.9013671875   total loss: 2346.9072265625
mse_b: 0.007008068263530731  mse_f: 2353.91796875   total loss: 2353.925048828125
mse_b: 0.007506224326789379  mse_f: 2360.94873046875   total loss: 2360.956298828125
mse_b: 0.007581053767353296  mse_f: 2367.9931640625   total loss: 2368.000732421875
mse_b: 0.007385782431811094  mse_f: 2375.05126953125   total loss: 2375.05859375
mse_b: 0.007069735787808895  mse_f: 2382.123046875   total loss: 2382.130126953125
mse_b: 0.006766622420400381  mse_f: 2389.20849609375   total loss: 2389.21533203125
mse_b: 0.0065923468209803104  mse_f: 2396.30712890625   total loss: 2396.313720703125
mse_b: 0.006639932747930288  mse_f: 2403.419189453125   total loss: 2403.42578125
mse_b: 0.006969500333070755  mse_f: 2410.544677734375   total loss: 2410.5517578125
mse_b: 0.007601532153785229  mse_f: 2417.68310546875   total loss: 2417.690673828125
mse_b: 0.00852528028190136  mse_f: 2424.834716796875   total loss: 2424.84326171875
mse_b: 0.009720131754875183  mse_f: 2431.999267578125   total loss: 2432.009033203125
mse_b: 0.011174989864230156  mse_f: 2439.1767578125   total loss: 2439.18798828125
mse_b: 0.012897678650915623  mse_f: 2446.3671875   total loss: 2446.380126953125
mse_b: 0.014915760606527328  mse_f: 2453.5703125   total loss: 2453.585205078125
mse_b: 0.017272943630814552  mse_f: 2460.7861328125   total loss: 2460.803466796875
mse_b: 0.020023606717586517  mse_f: 2468.01513671875   total loss: 2468.03515625
mse_b: 0.023226110264658928  mse_f: 2475.25634765625   total loss: 2475.279541015625
mse_b: 0.026934849098324776  mse_f: 2482.510498046875   total loss: 2482.537353515625
mse_b: 0.031191140413284302  mse_f: 2489.777099609375   total loss: 2489.808349609375
mse_b: 0.03601457178592682  mse_f: 2497.056396484375   total loss: 2497.092529296875
mse_b: 0.04139905422925949  mse_f: 2504.34814453125   total loss: 2504.3896484375
mse_b: 0.047317154705524445  mse_f: 2511.652587890625   total loss: 2511.699951171875
mse_b: 0.05373312905430794  mse_f: 2518.96923828125   total loss: 2519.02294921875
mse_b: 0.06062020733952522  mse_f: 2526.298583984375   total loss: 2526.359130859375
mse_b: 0.06797324866056442  mse_f: 2533.64013671875   total loss: 2533.7080078125
