Job started at: Tue Mar 18 12:05:31 AM UTC 2025
Running Python script...
2025-03-18 00:05:33.094781: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-18 00:05:33.095582: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-18 00:05:33.100680: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-18 00:05:33.111702: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1742256333.129419  629304 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1742256333.134336  629304 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-18 00:05:33.156788: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-03-18 00:05:41.770936: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 0.7555197477340698  mse_f: 2329.25146484375   total loss: 2330.007080078125
mse_b: 0.3138257563114166  mse_f: 2336.21630859375   total loss: 2336.530029296875
mse_b: 0.06996478885412216  mse_f: 2343.200439453125   total loss: 2343.2705078125
mse_b: 0.0017386273248121142  mse_f: 2350.2021484375   total loss: 2350.203857421875
mse_b: 0.058361515402793884  mse_f: 2357.21923828125   total loss: 2357.277587890625
mse_b: 0.15578772127628326  mse_f: 2364.248046875   total loss: 2364.40380859375
mse_b: 0.2244436889886856  mse_f: 2371.287109375   total loss: 2371.511474609375
mse_b: 0.2438066005706787  mse_f: 2378.336669921875   total loss: 2378.58056640625
mse_b: 0.22276571393013  mse_f: 2385.397216796875   total loss: 2385.619873046875
mse_b: 0.17797701060771942  mse_f: 2392.46923828125   total loss: 2392.647216796875
mse_b: 0.12483929097652435  mse_f: 2399.55322265625   total loss: 2399.677978515625
mse_b: 0.07498691976070404  mse_f: 2406.64990234375   total loss: 2406.724853515625
mse_b: 0.036036133766174316  mse_f: 2413.7587890625   total loss: 2413.794921875
mse_b: 0.0120142986997962  mse_f: 2420.880126953125   total loss: 2420.89208984375
mse_b: 0.003980889450758696  mse_f: 2428.013427734375   total loss: 2428.017333984375
mse_b: 0.010695574805140495  mse_f: 2435.15869140625   total loss: 2435.16943359375
mse_b: 0.02928459830582142  mse_f: 2442.31494140625   total loss: 2442.34423828125
mse_b: 0.055885232985019684  mse_f: 2449.482666015625   total loss: 2449.53857421875
mse_b: 0.08625644445419312  mse_f: 2456.66015625   total loss: 2456.746337890625
mse_b: 0.11633254587650299  mse_f: 2463.84765625   total loss: 2463.9638671875
mse_b: 0.14267511665821075  mse_f: 2471.044189453125   total loss: 2471.186767578125
mse_b: 0.1627730131149292  mse_f: 2478.24853515625   total loss: 2478.411376953125
mse_b: 0.17516393959522247  mse_f: 2485.460205078125   total loss: 2485.63525390625
mse_b: 0.17939424514770508  mse_f: 2492.678466796875   total loss: 2492.85791015625
mse_b: 0.17587018013000488  mse_f: 2499.9013671875   total loss: 2500.0771484375
mse_b: 0.16565650701522827  mse_f: 2507.12841796875   total loss: 2507.294189453125
mse_b: 0.1502644121646881  mse_f: 2514.358642578125   total loss: 2514.5087890625
mse_b: 0.13145384192466736  mse_f: 2521.5908203125   total loss: 2521.72216796875
mse_b: 0.11106745898723602  mse_f: 2528.823486328125   total loss: 2528.9345703125
mse_b: 0.09089510887861252  mse_f: 2536.056640625   total loss: 2536.1474609375
mse_b: 0.07255030423402786  mse_f: 2543.2890625   total loss: 2543.361572265625
mse_b: 0.05734606087207794  mse_f: 2550.52001953125   total loss: 2550.577392578125
mse_b: 0.04618264362215996  mse_f: 2557.74951171875   total loss: 2557.795654296875
mse_b: 0.03947334364056587  mse_f: 2564.9765625   total loss: 2565.01611328125
mse_b: 0.037123195827007294  mse_f: 2572.201904296875   total loss: 2572.239013671875
mse_b: 0.0385705940425396  mse_f: 2579.424560546875   total loss: 2579.463134765625
mse_b: 0.04289981722831726  mse_f: 2586.646240234375   total loss: 2586.689208984375
mse_b: 0.04900689423084259  mse_f: 2593.866455078125   total loss: 2593.91552734375
