Job started at: Mon Mar 31 01:47:05 PM UTC 2025
Running Python script...
2025-03-31 13:47:05.958855: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-31 13:47:05.959639: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:47:05.964667: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:47:05.975861: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1743428825.992688  832616 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1743428825.997283  832616 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-31 13:47:06.016624: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-03-31 13:47:11.674529: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 0.09395764023065567  mse_f: 2312.023193359375   total loss: 2312.1171875
mse_b: 0.004195434972643852  mse_f: 2319.4111328125   total loss: 2319.415283203125
mse_b: 0.0033941040746867657  mse_f: 2324.803466796875   total loss: 2324.806884765625
mse_b: 0.0031664338894188404  mse_f: 2329.77001953125   total loss: 2329.773193359375
mse_b: 0.002271941164508462  mse_f: 2334.67822265625   total loss: 2334.680419921875
mse_b: 0.001860936637967825  mse_f: 2339.654296875   total loss: 2339.65625
mse_b: 0.0012958638835698366  mse_f: 2344.7490234375   total loss: 2344.750244140625
mse_b: 0.001411294681020081  mse_f: 2349.979736328125   total loss: 2349.981201171875
mse_b: 0.0010773828253149986  mse_f: 2355.352294921875   total loss: 2355.353271484375
mse_b: 0.001411037752404809  mse_f: 2360.86279296875   total loss: 2360.8642578125
mse_b: 0.0012191379209980369  mse_f: 2366.507080078125   total loss: 2366.50830078125
mse_b: 0.001733616110868752  mse_f: 2372.27685546875   total loss: 2372.278564453125
mse_b: 0.0017693795962259173  mse_f: 2378.16455078125   total loss: 2378.166259765625
mse_b: 0.0025231619365513325  mse_f: 2384.160400390625   total loss: 2384.162841796875
mse_b: 0.0029466059058904648  mse_f: 2390.257080078125   total loss: 2390.260009765625
mse_b: 0.004039304796606302  mse_f: 2396.44482421875   total loss: 2396.448974609375
mse_b: 0.005014460999518633  mse_f: 2402.717529296875   total loss: 2402.72265625
mse_b: 0.0065614632330834866  mse_f: 2409.06689453125   total loss: 2409.073486328125
mse_b: 0.008191350847482681  mse_f: 2415.4873046875   total loss: 2415.49560546875
mse_b: 0.010289594531059265  mse_f: 2421.972900390625   total loss: 2421.983154296875
mse_b: 0.012607891112565994  mse_f: 2428.518798828125   total loss: 2428.531494140625
mse_b: 0.015320416539907455  mse_f: 2435.120849609375   total loss: 2435.13623046875
mse_b: 0.018325868993997574  mse_f: 2441.775146484375   total loss: 2441.79345703125
mse_b: 0.02168905921280384  mse_f: 2448.47802734375   total loss: 2448.499755859375
mse_b: 0.025379300117492676  mse_f: 2455.2265625   total loss: 2455.251953125
mse_b: 0.02941722795367241  mse_f: 2462.01806640625   total loss: 2462.04736328125
mse_b: 0.03379744291305542  mse_f: 2468.8505859375   total loss: 2468.88427734375
mse_b: 0.03852805495262146  mse_f: 2475.72119140625   total loss: 2475.759765625
mse_b: 0.043614279478788376  mse_f: 2482.628662109375   total loss: 2482.67236328125
mse_b: 0.049065254628658295  mse_f: 2489.570556640625   total loss: 2489.61962890625
mse_b: 0.054890044033527374  mse_f: 2496.545654296875   total loss: 2496.6005859375
mse_b: 0.061097949743270874  mse_f: 2503.552490234375   total loss: 2503.613525390625
