Job started at: Mon Mar 31 01:52:53 PM UTC 2025
Running Python script...
2025-03-31 13:52:54.068839: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-31 13:52:54.069588: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:52:54.074226: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-03-31 13:52:54.084751: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1743429174.101704  695357 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1743429174.106191  695357 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-31 13:52:54.126311: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-03-31 13:53:01.349485: E external/local_xla/xla/stream_executor/cuda/cuda_driver.cc:152] failed call to cuInit: INTERNAL: CUDA error: Failed call to cuInit: UNKNOWN ERROR (303)
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
WARNING:tensorflow:Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
mse_b: 0.09395764023065567  mse_f: 2312.023193359375   total loss: 2312.1171875
mse_b: 0.41921794414520264  mse_f: 2334.037109375   total loss: 2334.456298828125
mse_b: 0.047614410519599915  mse_f: 2350.13623046875   total loss: 2350.183837890625
mse_b: 0.04433498531579971  mse_f: 2363.69580078125   total loss: 2363.740234375
mse_b: 0.04413894936442375  mse_f: 2375.79296875   total loss: 2375.837158203125
mse_b: 0.040533747524023056  mse_f: 2386.8984375   total loss: 2386.93896484375
mse_b: 0.016822053119540215  mse_f: 2397.312744140625   total loss: 2397.32958984375
mse_b: 0.022470060735940933  mse_f: 2407.138916015625   total loss: 2407.161376953125
mse_b: 0.008966967463493347  mse_f: 2416.5029296875   total loss: 2416.511962890625
mse_b: 0.030798591673374176  mse_f: 2425.37158203125   total loss: 2425.40234375
mse_b: 0.01972714252769947  mse_f: 2433.834228515625   total loss: 2433.85400390625
mse_b: 0.07208744436502457  mse_f: 2441.8203125   total loss: 2441.892333984375
mse_b: 0.05023782700300217  mse_f: 2449.5419921875   total loss: 2449.59228515625
mse_b: 0.1766894906759262  mse_f: 2456.85498046875   total loss: 2457.03173828125
mse_b: 0.10675166547298431  mse_f: 2464.18603515625   total loss: 2464.292724609375
mse_b: 0.31575581431388855  mse_f: 2471.121337890625   total loss: 2471.43701171875
mse_b: 0.18371985852718353  mse_f: 2478.32958984375   total loss: 2478.513427734375
mse_b: 0.40118417143821716  mse_f: 2485.171875   total loss: 2485.572998046875
mse_b: 0.29071640968322754  mse_f: 2492.337890625   total loss: 2492.628662109375
mse_b: 0.4834291636943817  mse_f: 2499.196044921875   total loss: 2499.679443359375
mse_b: 0.4185386300086975  mse_f: 2506.29150390625   total loss: 2506.7099609375
mse_b: 0.5914408564567566  mse_f: 2513.120849609375   total loss: 2513.71240234375
mse_b: 0.5677331686019897  mse_f: 2520.1025390625   total loss: 2520.670166015625
mse_b: 0.7277219891548157  mse_f: 2526.84912109375   total loss: 2527.576904296875
mse_b: 0.7514435648918152  mse_f: 2533.66943359375   total loss: 2534.4208984375
mse_b: 0.9023832678794861  mse_f: 2540.290283203125   total loss: 2541.192626953125
mse_b: 0.9814633131027222  mse_f: 2546.91162109375   total loss: 2547.89306640625
mse_b: 1.126094937324524  mse_f: 2553.400390625   total loss: 2554.5263671875
mse_b: 1.259482502937317  mse_f: 2559.8662109375   total loss: 2561.125732421875
mse_b: 1.3975753784179688  mse_f: 2566.324951171875   total loss: 2567.722412109375
mse_b: 1.5718462467193604  mse_f: 2572.79638671875   total loss: 2574.3681640625
mse_b: 1.7004635334014893  mse_f: 2579.382080078125   total loss: 2581.08251953125
